complex,area_full,area_trans,predicted
TRANS-CPLX-201,116.60811523727068,116.60811523727068,0
CPLX0-3932,118.14348229137767,118.14348229137767,0
ACYLCOASYN-CPLX,42.00684207450806,4.629329635,0
AERGLYC3PDEHYDROG-CPLX,28.646957327064488,28.646957327064488,0
APP-UBIOX-CPLX,78.22393596363864,77.53390321007427,0
APP-UBIOX-CPLX,78.22393596363864,77.53390321007427,0
CPLX0-7653,34.282149828830036,34.03500858371796,0
ABC-4-CPLX,36.87740182666083,22.026582834960568,0
ABC-4-CPLX,36.87740182666083,22.026582834960568,0
ABC-4-CPLX,36.87740182666083,22.026582834960568,0
CPLX0-7870,25.189169382830606,1.4700887511958396,0
ATPSYN-CPLX,105.52,43.75,0
F-O-CPLX,46.31135342140047,43.87928429345365,0
ABC-5-CPLX,39.245699142047094,32.78469716301047,0
CPLX0-7906,76.84481396999999,75.73011490095745,0
CHEZ-CPLX,35.89440390832488,2.4954172659032143,0
CYT-D-UBIOX-CPLX,32.643784859105956,31.023228952910173,0
CYT-D-UBIOX-CPLX,32.643784859105956,31.023228952910173,0
CYT-O-UBIOX-CPLX,86.11190212,84.12485555102037,0
CYT-O-UBIOX-CPLX,86.11190212,84.12485555102037,0
CYT-O-UBIOX-CPLX,86.11190212,84.12485555102037,0
CYT-O-UBIOX-CPLX,86.11190212,84.12485555102037,0
DIACYLGLYKIN-CPLX,53.70794153431014,46.41419812451428,0
CPLX0-8545,37.90452451886816,3.2238278289999998,0
CPLX0-7934,11.813114668054979,1.7695736716304151,0
CPLX0-2921,45.457238712662864,27.890700443801524,0
ATPASE-1-CPLX,58.87649002827467,38.77579960273246,0
ATPASE-1-CPLX,58.87649002827467,38.77579960273246,0
CPLX0-8188,70.61784433955681,12.365857263659485,0
CPLX0-3951,40.296769716194184,2.260952715541039,0
CPLX0-2423,57.373678384885345,4.779013542446649,0
CPLX0-3461,82.91565741982096,20.460606426911628,0
CPLX0-2941,98.60336921954992,48.67588866087189,0
CPLX0-7934,11.813114668054979,1.7695736716304151,0
CPLX0-7626,57.02650164,47.57760746477909,0
TATABCE-CPLX,35.959164444981276,25.40869677710441,0
TATABCE-CPLX,35.959164444981276,25.40869677710441,0
FORMHYDROG2-CPLX,65.44572897012148,0.0,0
CPLX0-8271,14.272255449659754,13.917852251760833,0
