id,complex
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER,
2-OCTAPRENYLPHENOL-HYDROX-MONOMER,
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER,
AAS-MONOMER,
ABGT-MONOMER,
ACRB-MONOMER,TRANS-CPLX-201
ACRD-MONOMER,CPLX0-3932
ACYLCOASYN-MONOMER,ACYLCOASYN-CPLX
AERGLYC3PDEHYDROG-MONOMER,AERGLYC3PDEHYDROG-CPLX
AGAC-MONOMER,CPLX-170
AGAD-MONOMER,CPLX-170
AMPG-MONOMER,
ANGLYC3PDEHYDROGSUBUNITC-MONOMER,ANGLYC3PDEHYDROG-CPLX
ANSP-MONOMER,
APPB-MONOMER,APP-UBIOX-CPLX
APPC-MONOMER,APP-UBIOX-CPLX
AQPZ-MONOMER,CPLX0-7653
ARAE-MONOMER,
ARAG-MONOMER,ABC-2-CPLX
ARAH-MONOMER,ABC-2-CPLX
ARAJ-MONOMER,
ARCB-MONOMER,ARCB-CPLX
AROP-MONOMER,
ARSF-MONOMER,CPLX-7
ARTM-MONOMER,ABC-4-CPLX
ARTM-MONOMER,CPLX0-8120
ARTP-MONOMER,ABC-4-CPLX
ARTP-MONOMER,CPLX0-8120
ARTQ-MONOMER,ABC-4-CPLX
ARTQ-MONOMER,CPLX0-8120
ASCF-MONOMER,CPLX-153
ATOS-MONOMER,CPLX0-7870
ATPB-MONOMER,ATPSYN-CPLX
ATPB-MONOMER,F-O-CPLX
B0070-MONOMER,
B0260-MONOMER,
B0270-MONOMER,
B0427-MONOMER,
B0486-MONOMER,
B0511-MONOMER,
B0709-MONOMER,
B0752-MONOMER,
B0770-MONOMER,
B1006-MONOMER,
B1065-MONOMER,
B1296-MONOMER,
B1433-MONOMER,
B1543-MONOMER,
B1596-MONOMER,
B1599-MONOMER,YDGEF-CPLX
B1600-MONOMER,YDGEF-CPLX
B1634-MONOMER,
B1657-MONOMER,
B1690-MONOMER,
B1691-MONOMER,
B1775-MONOMER,
B1791-MONOMER,
B1828-MONOMER,
B2075-MONOMER,TRANS-CPLX-202
B2076-MONOMER,TRANS-CPLX-202
B2077-MONOMER,
B2098-MONOMER,
B2170-MONOMER,
B2246-MONOMER,
B2322-MONOMER,
B2372-MONOMER,
B2740-MONOMER,
B2771-MONOMER,
B2789-MONOMER,
B2845-MONOMER,
B2975-MONOMER,
B3659-MONOMER,
B4141-MONOMER,
BAES-MONOMER,
BARA-MONOMER,CPLX0-8302
BASS-MONOMER,
BCR-MONOMER,
BETT-MONOMER,
BGLF-MONOMER,CPLX-154
BRNQ-MONOMER,
BTUC-MONOMER,ABC-5-CPLX
CADB-MONOMER,
CAIT-MONOMER,CPLX0-7906
CCMB-MONOMER,CPLX-9493
CCMB-MONOMER,CPLX-9495
CCMC-MONOMER,ABC-35-CPLX
CCMC-MONOMER,CPLX-9495
CDPDIGLYPYPHOSPHA-MONOMER,
CDPDIGLYSYN-MONOMER,
CELB-MONOMER,CPLX-155
CHAA-MONOMER,
CHEB-MONOMER,
CHER-MONOMER,
CHEW-MONOMER,
CHEZ-MONOMER,CHEZ-CPLX
CMR-MONOMER,
CMTA-MONOMER,CPLX-156
COBS-MONOMER,
CODB-MONOMER,
CPXA-MONOMER,CPLX0-8270
CREC-MONOMER,CREC-CPLX
CRR-MONOMER,CPLX-157
CRR-MONOMER,CPLX-168
CRR-MONOMER,CPLX0-7
CYCA-MONOMER,
CYDA-MONOMER,CYT-D-UBIOX-CPLX
CYDB-MONOMER,CYT-D-UBIOX-CPLX
CYDC-MONOMER,ABC-6-CPLX
CYDD-MONOMER,ABC-6-CPLX
CYNX-MONOMER,
CYOA-MONOMER,CYT-O-UBIOX-CPLX
CYOB-MONOMER,CYT-O-UBIOX-CPLX
CYOC-MONOMER,CYT-O-UBIOX-CPLX
CYOD-MONOMER,CYT-O-UBIOX-CPLX
CYST-MONOMER,ABC-7-CPLX
CYST-MONOMER,ABC-70-CPLX
CYSW-MONOMER,ABC-7-CPLX
CYSW-MONOMER,ABC-70-CPLX
CYTOCHROME-B561-MONOMER,
DALADEHYDROGA-MONOMER,DALADEHYDROG-CPLX
DCTA-MONOMER,
DCUA-MONOMER,
DCUB-MONOMER,
DCUC-MONOMER,
DCUS-MONOMER,
DIACYLGLYKIN-MONOMER,DIACYLGLYKIN-CPLX
DINF-MONOMER,
DLACTDEHYDROGFAD-MONOMER,
DMK-MONOMER,
DMSC-MONOMER,DIMESULFREDUCT-CPLX
DPPB-MONOMER,ABC-8-CPLX
DPPC-MONOMER,ABC-8-CPLX
DPPD-MONOMER,ABC-8-CPLX
DSBBPROT-MONOMER,
DSDX-MONOMER,
EG10003-MONOMER,
EG10015-MONOMER,
EG10018-MONOMER,CPLX0-8245
EG10042-MONOMER,
EG10106-MONOMER,
EG10145-MONOMER,
EG10167-MONOMER,
EG10168-MONOMER,
EG10169-MONOMER,
EG10201-MONOMER,CPLX0-8252
EG10202-MONOMER,CPLX0-8545
EG10203-MONOMER,CPLX0-8254
EG10216-MONOMER,
EG10229-MONOMER,
EG10266-MONOMER,CPLX0-2141
EG10270-MONOMER,
EG10271-MONOMER,CPLX0-1923
EG10271-MONOMER,CPLX0-1924
EG10271-MONOMER,CPLX0-1941
EG10271-MONOMER,CPLX0-1942
EG10271-MONOMER,CPLX0-1943
EG10271-MONOMER,CPLX0-7952
EG10271-MONOMER,CPLX0-8541
